biased_fraction,n_agents,mean,std,n
0.0,16,-0.008547762873208497,0.043299601955463375,10
0.0,24,0.0012621042276190115,0.024728356555708726,10
0.0,32,0.0031341982550688883,0.03795728774117268,10
0.25,16,0.16484256591175736,0.06605485223951728,10
0.25,24,0.16591583407090382,0.0482178024504056,10
0.25,32,0.15504257111594924,0.04951082804483793,10
0.45,16,0.27768610375725383,0.09054542865939019,10
0.45,24,0.27127833656370165,0.05771974701315357,10
0.45,32,0.26221715351502545,0.07261310479318175,10
0.7,16,0.4636001770638389,0.07836095020081515,10
0.7,24,0.3745673209853439,0.0542388920576901,10
0.7,32,0.40309747641367,0.042816196422159176,10
1.0,16,0.6144994002224169,0.026943936697778805,10
1.0,24,0.5751105982425585,0.022556646159161656,10
1.0,32,0.5300132696934914,0.023457633795067132,10
